,time,lat,lon,dev_acc_d
22500,2022-03-22 14:28:24,29.792844,60.5149789,1112.73448
22501,2022-03-22 14:28:29,29.7924127,60.5163433,1112.87465
22502,2022-03-22 14:28:34,29.7919852,60.5176804,1113.0122
22503,2022-03-22 14:28:39,29.7915601,60.5190379,1113.1515
22504,2022-03-22 14:28:44,29.791116,60.5204117,1113.29302
22505,2022-03-22 14:28:49,29.7906764,60.5217906,1113.43482
22506,2022-03-22 14:28:54,29.7902386,60.5231904,1113.57845
22507,2022-03-22 14:28:59,29.7897795,60.524625,1113.72605
22508,2022-03-22 14:29:04,29.789312,60.5260737,1113.87525
22509,2022-03-22 14:29:09,29.7888358,60.5275513,1114.0274
22510,2022-03-22 14:29:14,29.7883645,60.5290248,1114.179
22511,2022-03-22 14:29:19,29.7878419,60.530492,1114.33209
22512,2022-03-22 14:29:24,29.7872628,60.531892,1114.48181
22513,2022-03-22 14:29:29,29.7866289,60.5332697,1114.63233
22514,2022-03-22 14:29:34,29.7859128,60.5346258,1114.78557
22515,2022-03-22 14:29:39,29.7851287,60.5359534,1114.94059
22516,2022-03-22 14:29:44,29.7842739,60.5372801,1115.1001
22517,2022-03-22 14:29:49,29.7834001,60.5385946,1115.25995
22518,2022-03-22 14:29:54,29.7825085,60.5399391,1115.42329
22519,2022-03-22 14:29:59,29.7816242,60.5412794,1115.58582
22520,2022-03-22 14:30:04,29.7807509,60.5426136,1115.74715
22521,2022-03-22 14:30:09,29.7798659,60.5439499,1115.90942
22522,2022-03-22 14:30:14,29.778984,60.5452744,1116.07058
22523,2022-03-22 14:30:19,29.7781131,60.5465904,1116.23035
22524,2022-03-22 14:30:24,29.7772424,60.5479071,1116.39016
22525,2022-03-22 14:30:29,29.7763733,60.5491994,1116.54799
22526,2022-03-22 14:30:34,29.7755006,60.5505039,1116.707
22527,2022-03-22 14:30:39,29.774582,60.5517604,1116.86561
22528,2022-03-22 14:30:44,29.7736134,60.5529538,1117.02335
22529,2022-03-22 14:30:49,29.7726445,60.5541318,1117.18003
22530,2022-03-22 14:30:54,29.771692,60.5553034,1117.33502
22531,2022-03-22 14:30:59,29.7707296,60.5564751,1117.49076
22532,2022-03-22 14:31:04,29.7697631,60.5576353,1117.64602
22533,2022-03-22 14:31:09,29.7688051,60.5587991,1117.80088
22534,2022-03-22 14:31:14,29.7678383,60.5599785,1117.9575
22535,2022-03-22 14:31:19,29.7668785,60.5611521,1118.11319
22536,2022-03-22 14:31:24,29.7659326,60.5623045,1118.26632
22537,2022-03-22 14:31:29,29.7650014,60.5634372,1118.41695
22538,2022-03-22 14:31:34,29.7640624,60.5645723,1118.56835
22539,2022-03-22 14:31:39,29.7631268,60.5657082,1118.71954
22540,2022-03-22 14:31:44,29.7622187,60.5668223,1118.8671
22541,2022-03-22 14:31:49,29.7612985,60.5679393,1119.01579
22542,2022-03-22 14:31:54,29.7603554,60.5690724,1119.16737
22543,2022-03-22 14:31:59,29.7594267,60.5702411,1119.32036
22544,2022-03-22 14:32:04,29.7585408,60.5714437,1119.47266
22545,2022-03-22 14:32:09,29.757716,60.5726924,1119.62417
22546,2022-03-22 14:32:14,29.7568784,60.573984,1119.77984
22547,2022-03-22 14:32:19,29.7560229,60.5752897,1119.9378
22548,2022-03-22 14:32:24,29.7551785,60.5766016,1120.09551
22549,2022-03-22 14:32:29,29.7543295,60.5779182,1120.25388
22550,2022-03-22 14:32:34,29.7534773,60.579236,1120.41256
